year,iter,data,scenario,biol,code,metric
2047,498,14589.9602974996,om11_2,CJM,tun29,SB
2048,498,14674.4127843603,om11_2,CJM,tun29,SB
2049,498,13822.97834018,om11_2,CJM,tun29,SB
2050,498,12268.8850955677,om11_2,CJM,tun29,SB
2025,37,1385.8907626811,om11_2,CJM,tun29,C
2026,37,1178.75981689009,om11_2,CJM,tun29,C
2027,37,1120.27695074747,om11_2,CJM,tun29,C
2028,37,1144.73792291791,om11_2,CJM,tun29,C
2029,37,1249.08293865004,om11_2,CJM,tun29,C
2030,37,1474.89263671572,om11_2,CJM,tun29,C
2031,37,1534.67243393474,om11_2,CJM,tun29,C
2032,37,1714.24070187785,om11_2,CJM,tun29,C
2033,37,1549.07452660716,om11_2,CJM,tun29,C
2034,37,1602.84747642743,om11_2,CJM,tun29,C
2035,37,1375.25251216881,om11_2,CJM,tun29,C
2036,37,1175.87461912338,om11_2,CJM,tun29,C
2037,37,1093.43440305883,om11_2,CJM,tun29,C
2038,37,1044.72829381842,om11_2,CJM,tun29,C
2039,37,878.83995939326,om11_2,CJM,tun29,C
2040,37,852.092951500844,om11_2,CJM,tun29,C
2041,37,1008.22557372934,om11_2,CJM,tun29,C
2042,37,1198.86241383219,om11_2,CJM,tun29,C
2043,37,1377.57409412496,om11_2,CJM,tun29,C
2044,37,1599.5067987672,om11_2,CJM,tun29,C
2045,37,1641.67536702316,om11_2,CJM,tun29,C
2046,37,1730.41214976104,om11_2,CJM,tun29,C
2047,37,1932.8392020842,om11_2,CJM,tun29,C
2048,37,2053.46219375436,om11_2,CJM,tun29,C
2049,37,2024.21854683977,om11_2,CJM,tun29,C
2050,37,2063.01933561906,om11_2,CJM,tun29,C
2025,65,1385.8907626811,om11_2,CJM,tun29,C
2026,65,1197.50510876522,om11_2,CJM,tun29,C
2027,65,1118.93780930769,om11_2,CJM,tun29,C
2028,65,1024.4776939917,om11_2,CJM,tun29,C
2029,65,1230.93410626428,om11_2,CJM,tun29,C
2030,65,1476.49489693373,om11_2,CJM,tun29,C
2031,65,1701.70087285208,om11_2,CJM,tun29,C
2032,65,1853.69796714224,om11_2,CJM,tun29,C
2033,65,2062.34930949524,om11_2,CJM,tun29,C
2034,65,2065.00637278551,om11_2,CJM,tun29,C
2035,65,2076.42701739571,om11_2,CJM,tun29,C
2036,65,2021.80577040085,om11_2,CJM,tun29,C
2037,65,2056.3958387393,om11_2,CJM,tun29,C
2038,65,2066.6593530321,om11_2,CJM,tun29,C
2039,65,2034.69351237765,om11_2,CJM,tun29,C
2040,65,2034.15796981316,om11_2,CJM,tun29,C
2041,65,2086.19438608757,om11_2,CJM,tun29,C
2042,65,2066.06527723928,om11_2,CJM,tun29,C
2043,65,2059.85840799877,om11_2,CJM,tun29,C
2044,65,2059.40627192942,om11_2,CJM,tun29,C
2045,65,2013.4419955287,om11_2,CJM,tun29,C
2046,65,2042.75669983058,om11_2,CJM,tun29,C
2047,65,2083.27710210855,om11_2,CJM,tun29,C
2048,65,2018.23254280157,om11_2,CJM,tun29,C
2049,65,1853.60399108487,om11_2,CJM,tun29,C
2050,65,1880.80752762503,om11_2,CJM,tun29,C
2025,110,1385.8907626811,om11_2,CJM,tun29,C
2026,110,1173.81443304085,om11_2,CJM,tun29,C
2027,110,1168.83190369885,om11_2,CJM,tun29,C
2028,110,1178.12388904315,om11_2,CJM,tun29,C
2029,110,1385.68818138077,om11_2,CJM,tun29,C
2030,110,1664.36864427668,om11_2,CJM,tun29,C
2031,110,1965.45946500529,om11_2,CJM,tun29,C
2032,110,2061.30811738441,om11_2,CJM,tun29,C
2033,110,2068.34351253821,om11_2,CJM,tun29,C
2034,110,2046.47931290044,om11_2,CJM,tun29,C
2035,110,1997.72052412105,om11_2,CJM,tun29,C
2036,110,2018.90832470855,om11_2,CJM,tun29,C
2037,110,2009.89254360212,om11_2,CJM,tun29,C
2038,110,2066.5670511883,om11_2,CJM,tun29,C
2039,110,2069.85533866908,om11_2,CJM,tun29,C
2040,110,2009.33822906698,om11_2,CJM,tun29,C
2041,110,1990.8631761663,om11_2,CJM,tun29,C
2042,110,1941.23436500496,om11_2,CJM,tun29,C
2043,110,1603.19992702331,om11_2,CJM,tun29,C
2044,110,1366.33868778961,om11_2,CJM,tun29,C
2045,110,1187.3174208945,om11_2,CJM,tun29,C
2046,110,1007.15627587104,om11_2,CJM,tun29,C
2047,110,857.257856438599,om11_2,CJM,tun29,C
2048,110,734.406156796805,om11_2,CJM,tun29,C
2049,110,620.202466375467,om11_2,CJM,tun29,C
2050,110,528.733963221419,om11_2,CJM,tun29,C
2025,151,1385.8907626811,om11_2,CJM,tun29,C
2026,151,1182.18333705349,om11_2,CJM,tun29,C
2027,151,1135.63341358427,om11_2,CJM,tun29,C
2028,151,1077.31802634523,om11_2,CJM,tun29,C
2029,151,1001.37570790927,om11_2,CJM,tun29,C
2030,151,1097.40182448223,om11_2,CJM,tun29,C
2031,151,1326.77008711367,om11_2,CJM,tun29,C
2032,151,1574.84169867905,om11_2,CJM,tun29,C
2033,151,1892.85627910054,om11_2,CJM,tun29,C
2034,151,2068.18337362863,om11_2,CJM,tun29,C
2035,151,2021.31949243137,om11_2,CJM,tun29,C
2036,151,2076.33689349292,om11_2,CJM,tun29,C
2037,151,2057.36296287199,om11_2,CJM,tun29,C
2038,151,1993.66625588643,om11_2,CJM,tun29,C
2039,151,2079.86463800664,om11_2,CJM,tun29,C
2040,151,2031.67264115656,om11_2,CJM,tun29,C
2041,151,2027.95090335404,om11_2,CJM,tun29,C
