year,iter,data,scenario,biol,code,metric
2044,498,7941.21134007999,om11_2,CJM,tun43,SB
2045,498,9992.49864935569,om11_2,CJM,tun43,SB
2046,498,12389.7695039037,om11_2,CJM,tun43,SB
2047,498,13981.4349491899,om11_2,CJM,tun43,SB
2048,498,14124.8168221551,om11_2,CJM,tun43,SB
2049,498,13414.0383595394,om11_2,CJM,tun43,SB
2050,498,12097.5510902345,om11_2,CJM,tun43,SB
2025,37,1385.8907626811,om11_2,CJM,tun43,C
2026,37,1256.75025459674,om11_2,CJM,tun43,C
2027,37,1207.0212643671,om11_2,CJM,tun43,C
2028,37,1231.40117613128,om11_2,CJM,tun43,C
2029,37,1340.11858030221,om11_2,CJM,tun43,C
2030,37,1538.79172289747,om11_2,CJM,tun43,C
2031,37,1624.72191419012,om11_2,CJM,tun43,C
2032,37,1799.13615324071,om11_2,CJM,tun43,C
2033,37,1607.79174993285,om11_2,CJM,tun43,C
2034,37,1648.82964633421,om11_2,CJM,tun43,C
2035,37,1331.48750970068,om11_2,CJM,tun43,C
2036,37,1092.89870071207,om11_2,CJM,tun43,C
2037,37,1049.87548978202,om11_2,CJM,tun43,C
2038,37,990.881200684851,om11_2,CJM,tun43,C
2039,37,833.217791646458,om11_2,CJM,tun43,C
2040,37,823.429828322652,om11_2,CJM,tun43,C
2041,37,937.03132663711,om11_2,CJM,tun43,C
2042,37,1067.78137209314,om11_2,CJM,tun43,C
2043,37,1236.87873962784,om11_2,CJM,tun43,C
2044,37,1411.73723123816,om11_2,CJM,tun43,C
2045,37,1653.39471707431,om11_2,CJM,tun43,C
2046,37,1834.90870890724,om11_2,CJM,tun43,C
2047,37,2031.58617807703,om11_2,CJM,tun43,C
2048,37,2053.46218915945,om11_2,CJM,tun43,C
2049,37,2024.21853914878,om11_2,CJM,tun43,C
2050,37,2063.0193400248,om11_2,CJM,tun43,C
2025,65,1385.8907626811,om11_2,CJM,tun43,C
2026,65,1276.73557846622,om11_2,CJM,tun43,C
2027,65,1205.57846101904,om11_2,CJM,tun43,C
2028,65,1098.52480811774,om11_2,CJM,tun43,C
