set,om,biol,code,statistic,median,q25,q75,CMP
robustness,h1_1.14,CJM,tun45,IACC,5.76297742724763,1.91685082248922,9.31077578797477,HSsym
robustness,h1_1.14,CJM,tun47,SBMSY,2.09956037448564,1.35953606149394,3.21131144922508,HS-30
robustness,h1_1.14,CJM,tun47,C,1854.94023257992,1372.408189471,2034.36624478242,HS-30
robustness,h1_1.14,CJM,tun47,IACC,5.7841156720916,1.90145917161079,9.87275214605981,HS-30
robustness,h1_1.14,CJM,tun32,SBMSY,2.12172997648432,1.47734682751315,3.17596204384762,PR+20
robustness,h1_1.14,CJM,tun32,C,1773.0038108402,1210.95727535638,2329.4471680355,PR+20
robustness,h1_1.14,CJM,tun32,IACC,10.0702114324509,6.96294148624558,13.0685459017577,PR+20
robustness,h1_1.14,CJM,tun44,SBMSY,2.1532668913639,1.51062719959096,3.19243080706915,PR-20
robustness,h1_1.14,CJM,tun44,C,1778.24272470068,1174.09101760117,2342.49658296631,PR-20
robustness,h1_1.14,CJM,tun44,IACC,9.73218380965438,6.89220872953997,13.0815738111994,PR-20
robustness,h1_1.14,CJM,tun46,SBMSY,2.1440534666709,1.48594602007397,3.18928929110641,PRsym
robustness,h1_1.14,CJM,tun46,C,1779.40493065639,1163.3665596675,2332.98655559753,PRsym
robustness,h1_1.14,CJM,tun46,IACC,9.56128397100506,6.75398619262593,12.4524227590359,PRsym
robustness,h1_1.14,CJM,tun48,SBMSY,2.12618288885042,1.52084507975111,3.14998707240624,PR-30
robustness,h1_1.14,CJM,tun48,C,1784.27323101098,1188.27362786644,2343.74461721719,PR-30
robustness,h1_1.14,CJM,tun48,IACC,10.194644629337,7.1219096695616,15.0346192138253,PR-30
robustness,h2_0.16_mov,Southern,tun29,SBMSY,0.997800361316875,0.926055126813088,1.07873737086037,HS+20
robustness,h2_0.16_mov,Southern,tun29,C,961.681224242985,854.417928692935,1095.16203438979,HS+20
robustness,h2_0.16_mov,Southern,tun29,IACC,4.86975546095263,4.09193229366969,5.81873125734966,HS+20
robustness,h2_0.16_mov,North,tun29,SBMSY,0.615423205629431,0.584133645519963,0.651024205831399,HS+20
robustness,h2_0.16_mov,North,tun29,C,224.22832337455,198.259534615952,256.272203463929,HS+20
robustness,h2_0.16_mov,North,tun29,IACC,11.009565723341,9.14945204474877,13.0856918303722,HS+20
robustness,h2_0.16_mov,Southern,tun43,SBMSY,0.924935484290207,0.853091001326894,1.00495824040295,HS-20
robustness,h2_0.16_mov,Southern,tun43,C,956.060991003048,847.549568374835,1087.45993693055,HS-20
robustness,h2_0.16_mov,Southern,tun43,IACC,4.88901869042266,4.15848353440763,5.88870688201741,HS-20
robustness,h2_0.16_mov,North,tun43,SBMSY,0.592374591073931,0.562081296876356,0.623880561630381,HS-20
robustness,h2_0.16_mov,North,tun43,C,222.114976815006,196.946286232714,254.139462768669,HS-20
