mp,statistic,metric,raw_value,preferred_direction,include,weight,years,summary,om_code,om_label,component,n_iter
PR+20 (MP32),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
PR-20 (MP44),CatchDrop20,Advice reductions >19% (%),0.203916666666667,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
PRsym (MP46),CatchDrop20,Advice reductions >19% (%),0,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
PR-30 (MP48),CatchDrop20,Advice reductions >19% (%),0.156083333333333,lower is better,TRUE,1,2027-2050 (advice comparisons 2026-2049),Proportion across all valid consecutive saved HCR-advice comparisons and all iterations; advice falls strictly more than 19%; no biomass or near-20% exclusions; first saved advice has no predecessor,om11_2,Recruitment crash (om11_2),CJM,500
HS+20 (MP29),Creduction,Mean catch reduction,3.7615925522402,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
PR+20 (MP32),Creduction,Mean catch reduction,5.57349194167624,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
HS-20 (MP43),Creduction,Mean catch reduction,3.83834411891147,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
PR-20 (MP44),Creduction,Mean catch reduction,5.68143981479545,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
HSsym (MP45),Creduction,Mean catch reduction,3.63108469602168,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
PRsym (MP46),Creduction,Mean catch reduction,5.33323071560507,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
HS-30 (MP47),Creduction,Mean catch reduction,3.93843111475111,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
PR-30 (MP48),Creduction,Mean catch reduction,6.21903496576054,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2026-2050 mean reductions,om11_2,Recruitment crash (om11_2),CJM,500
HS+20 (MP29),FMSY,F / F[MSY],1.14557858509647,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
